193-5924-3911,5,2023-11-09 17:38:00.063000 UTC
21-8232-1653,5,2023-11-09 17:36:31.553000 UTC
21-8232-1510,44,2023-11-09 17:33:43.950000 UTC
193-5924-3685,5,2023-11-09 17:33:27.640000 UTC
107-7150-7087,11,2023-11-09 17:32:31.650000 UTC
21-8232-1441,5,2023-11-09 17:32:25.460000 UTC
21-8232-1371,44,2023-11-09 17:31:00.803000 UTC
107-7150-6940,44,2023-11-09 17:29:45.940000 UTC
21-8232-1267,5,2023-11-09 17:28:54.073000 UTC
107-7150-6733,44,2023-11-09 17:25:54.503000 UTC
193-5924-3280,5,2023-11-09 17:25:40.803000 UTC
193-5924-3233,44,2023-11-09 17:24:50.010000 UTC
107-7150-6605,44,2023-11-09 17:23:22.643000 UTC
21-8232-0967,5,2023-11-09 17:23:12.883000 UTC
193-5924-3140,5,2023-11-09 17:23:01.417000 UTC
193-5924-3049,44,2023-11-09 17:21:20.753000 UTC
107-7150-6483,5,2023-11-09 17:21:09.823000 UTC
21-8232-0744,5,2023-11-09 17:19:09.630000 UTC
21-8232-0732,44,2023-11-09 17:19:01.273000 UTC
107-7150-6319,1,2023-11-09 17:18:09.937000 UTC
107-7150-6259,44,2023-11-09 17:17:03.207000 UTC
193-5924-2782,5,2023-11-09 17:16:30.870000 UTC
107-7150-6204,44,2023-11-09 17:16:11.147000 UTC
107-7150-6201,44,2023-11-09 17:16:09.870000 UTC
193-5924-2751,11,2023-11-09 17:16:07.507000 UTC
21-8232-0537,5,2023-11-09 17:15:29.053000 UTC
107-7150-6136,44,2023-11-09 17:14:54.317000 UTC
107-7150-6093,44,2023-11-09 17:14:05.950000 UTC
107-7150-5989,5,2023-11-09 17:12:05.967000 UTC
193-5924-2415,5,2023-11-09 17:09:49.383000 UTC
21-8232-0234,44,2023-11-09 17:09:46.297000 UTC
21-8232-0204,5,2023-11-09 17:09:14.730000 UTC
21-8232-0167,44,2023-11-09 17:08:26.987000 UTC
21-8232-0116,44,2023-11-09 17:07:37.220000 UTC
21-8232-0062,5,2023-11-09 17:06:33.363000 UTC
107-7150-5547,44,2023-11-09 17:03:44.233000 UTC
193-5924-2038,44,2023-11-09 17:02:41.757000 UTC
107-7150-5420,1,2023-11-09 17:01:26.533000 UTC
107-7150-5374,44,2023-11-09 17:00:30.947000 UTC
193-5924-1866,44,2023-11-09 16:59:31.400000 UTC
107-7150-5305,44,2023-11-09 16:59:19.203000 UTC
107-7150-5246,44,2023-11-09 16:58:14.057000 UTC
21-8231-9431,44,2023-11-09 16:54:44.927000 UTC
21-8231-9379,5,2023-11-09 16:53:51.773000 UTC
107-7150-4983,5,2023-11-09 16:53:23.770000 UTC
107-7150-4938,11,2023-11-09 16:52:37.297000 UTC
193-5924-1420,11,2023-11-09 16:51:16.927000 UTC
21-8231-9189,5,2023-11-09 16:50:34.317000 UTC
107-7150-4708,44,2023-11-09 16:48:28.297000 UTC
21-8231-9020,11,2023-11-09 16:47:38.373000 UTC
21-8231-8926,44,2023-11-09 16:45:51.027000 UTC
21-8231-8769,11,2023-11-09 16:43:05.170000 UTC
193-5924-0831,5,2023-11-09 16:40:51.547000 UTC
21-8231-8571,5,2023-11-09 16:39:40.950000 UTC
21-8231-8434,44,2023-11-09 16:37:32.977000 UTC
193-5924-0434,44,2023-11-09 16:34:17.810000 UTC
107-7150-3806,44,2023-11-09 16:32:51.257000 UTC
21-8231-8175,1,2023-11-09 16:32:48.623000 UTC
193-5924-0188,5,2023-11-09 16:29:53.043000 UTC
21-8231-7974,5,2023-11-09 16:29:21.210000 UTC
107-7150-3350,5,2023-11-09 16:24:41.077000 UTC
21-8231-7591,44,2023-11-09 16:22:24.767000 UTC
193-5923-9580,1,2023-11-09 16:19:09.800000 UTC
107-7150-2918,44,2023-11-09 16:17:07.447000 UTC
193-5923-9410,11,2023-11-09 16:16:11.747000 UTC
193-5923-9270,5,2023-11-09 16:13:36.643000 UTC
21-8231-6987,44,2023-11-09 16:11:49.773000 UTC
107-7150-2503,44,2023-11-09 16:10:05.630000 UTC
21-8231-6846,11,2023-11-09 16:09:40.393000 UTC
193-5923-9025,44,2023-11-09 16:09:31.627000 UTC
107-7150-2346,11,2023-11-09 16:07:03.520000 UTC
21-8231-6685,5,2023-11-09 16:06:36.423000 UTC
21-8231-6684,5,2023-11-09 16:06:35.270000 UTC
193-5923-8793,44,2023-11-09 16:05:13.930000 UTC
193-5923-8702,5,2023-11-09 16:03:35.247000 UTC
107-7150-2153,44,2023-11-09 16:03:34.713000 UTC
21-8231-6476,44,2023-11-09 16:02:49.253000 UTC
21-8231-6466,11,2023-11-09 16:02:43.440000 UTC
107-7150-2093,1,2023-11-09 16:02:30.557000 UTC
193-5923-8612,44,2023-11-09 16:01:52.993000 UTC
107-7150-2045,44,2023-11-09 16:01:30.290000 UTC
107-7150-1997,5,2023-11-09 16:00:42.307000 UTC
107-7150-1920,44,2023-11-09 15:59:22.470000 UTC
107-7150-1843,44,2023-11-09 15:57:53.753000 UTC
21-8231-6045,5,2023-11-09 15:54:53.383000 UTC
193-5923-8178,44,2023-11-09 15:53:53.310000 UTC
